Sample Name	Compound	Concentration	S9 mix	Compound Abbreviation 	Group
MSM0.69	o-Toluidine	14 mM	Yes	o-TOL	Aromatic Amine
MSM0.80	o-Anisidine	6 mM	Yes	o-anisidine	Aromatic Amine
MSM0.1	H2O Control	0.10%	No	H2O Control	Control
MSM0.118	DMSO control for hamster	0.50%	Yes	DMSO Control	Control
MSM0.119	DMSO control	0.50%	Yes	DMSO Control	Control
MSM0.120	Methanol Control	1.30%	No	MeOH Control	Control
MSM0.127	Methanol Control	4.30%	Yes	MeOH Control	Control
MSM0.131	DMSO Control	0.10%	Yes	DMSO Control	Control
MSM0.37	S9 mix Control (Lot 3366)	0.10%	Yes	S9 mix Control	Control
MSM0.4	DMSO Control	0.68%	No	DMSO Control	Control
MSM0.45	H2O control	0.10%	No	H2O Control	Control
MSM0.6	sodium chloride Control	0.90%	No	NaCl Control	Control
MSM0.8	Media Control	NA	No	Media Control	Control
MSM0.86	DMSO Control	0.35%	Yes	DMSO Control	Control
MSM0.128	Media Control	NA	No	Media Control	Control
MSM0.129	Media Control	NA	Yes	Media Control	Control
MSM0.9	DMSO Control	0.10%	No	DMSO Control	Control
MSM0.84	AZD7762	1.625 uM	No	AZD7762	DNA Damage Response Inhibitors
MSM0.85	AZ20	0.9375 uM	No	AZ20	DNA Damage Response Inhibitors
MSM0.10	Melphalan	1.5 uM	No	Melphalan	Drug Therapy
MSM0.101	Cyclophosphamide	60 uM	Yes	Cyclophosphamide	Drug Therapy
MSM0.106	Semustine	150 uM	No	Semustine	Drug Therapy
MSM0.11	Temozolomide	200 uM	No	Temozolomide	Drug Therapy
MSM0.123	Semustine	700 uM	Yes	Semustine	Drug Therapy
MSM0.15	Mitomycin C	0.313 uM	No	Mitomycin C	Drug Therapy
MSM0.18	Etoposide	0.0188 uM	No	Etoposide	Drug Therapy
MSM0.25	Cyclophosphamide	18.75 uM	Yes	Cyclophosphamide	Drug Therapy
MSM0.32	Ellipticine	0.125 uM	No	Ellipticine	Drug Therapy
MSM0.33	Bleomycin	0.188 uM	No	Bleomycin	Drug Therapy
MSM0.41	Ellipticine	0.375 uM	Yes	Ellipticine	Drug Therapy
MSM0.48	Camptothecin	0.0063 uM	No	CMT	Drug Therapy
MSM0.59	Olaparib	0.625 uM	No	OLA	Drug Therapy
MSM0.66	Mechlorethamine (nitrogen mustard)	0.3 uM	No	Mechlorethamine	Drug Therapy
MSM0.7	Cisplatin	3.125 uM	No	Cisplatin	Drug Therapy
MSM0.72	Carboplatin	5 uM	No	Carboplatin	Drug Therapy
MSM0.75	Temozolomide	200 uM	No	Temozolomide	Drug Therapy
MSM0.82	Cisplatin	12.5 uM	No	Cisplatin	Drug Therapy
MSM0.88	Ellipticine	0.625 uM	Yes	Ellipticine	Drug Therapy
MSM0.89	Ellipticine	0.25 uM	No	Ellipticine	Drug Therapy
MSM0.44	"2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine"	3 uM	Yes	PhIP	Heterocyclic Amine
MSM0.61	"2-amino-3-methyl-9H-pyrido[2,3-b]indole"	70 uM	No	MeAaC	Heterocyclic Amine
MSM0.62	"2-amino-3-methylimidazo[4,5-f]quinoline"	450 uM	No	IQ	Heterocyclic Amine
MSM0.65	"2-amino-3,8-dimethylimidazo[4,5-f]quinoxaline"	300 uM	No	MeIQX	Heterocyclic Amine
MSM0.90	"2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine"	4 uM	Yes	PHIP	Heterocyclic Amine
MSM0.20	Cadmium chloride	2.5 uM	No	CdCl2	Metal
MSM0.21	Sodium (meta)arsenite	2 uM	No	Arsenite	Metal
MSM0.28	Nickel chloride	300 uM	No	NiCl2	Metal
MSM0.30	Potassium chromate	7.5 uM	No	Potassium chromate	Metal
MSM0.36	Lead acetate	75 uM	No	Lead acetate	Metal
MSM0.39	Lead nitrate	88 uM	No	Lead nitrate	Metal
MSM0.46	Cobalt chloride	250 uM	No	CoCl2	Metal
MSM0.98	Nickel chloride	412.5 uM	No	NiCl2	Metal
MSM0.16	"1,8-Dinitropyrene"	0.125 uM	No	"1,8-Dinitropyrene"	Nitro-PAH
MSM0.17	2-Nitrofluorene	10 uM	No	2-Nitrofluorene	Nitro-PAH
MSM0.27	6-Nitrochrysene	12.5 uM	Yes	6-Nitrochrysene	Nitro-PAH
MSM0.29	1-Nitropyrene	1.75 uM	Yes	1-Nitropyrene	Nitro-PAH
MSM0.40	6-Nitrochrysene	0.78 uM	No	6-Nitrochrysene	Nitro-PAH
MSM0.5	3-Nitrobenzanthrone	0.025 uM	No	3NBA	Nitro-PAH
MSM0.50	"1,6-Dinitropyrene"	0.09 uM	No	"1,6-DNP"	Nitro-PAH
MSM0.81	2-Nitrotoluene	4.6 mM	Yes	2-NT	Nitro-PAH
MSM0.87	3-Nitrobenzanthrone	0.1 uM	No	3NBA	Nitro-PAH
MSM0.91	1-Nitropyrene	2.5  uM	Yes	1-Nitropyrene	Nitro-PAH
MSM0.93	6-Nitrochrysene	50 uM	Yes	6-Nitrochrysene	Nitro-PAH
MSM0.94	6-Nitrochrysene	50 uM	No	6-Nitrochrysene	Nitro-PAH
MSM0.95	"1,8-Dinitropyrene"	8 uM	No	"1,8-dinitropyrene"	Nitro-PAH
MSM0.97	2-Nitrofluorene	40 uM	No	2-nitrofluorene	Nitro-PAH
MSM0.64	N-Nitrosopyrrolidine	50 mM	No	NNP	Nitrosamine
MSM0.117	3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone	2.5 uM	No	MX	Other
MSM0.122	3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone	7 uM	Yes	MX	Other
MSM0.124	Methyleugenol	1.25 mM	No	Methyleugenol	Other
MSM0.125	Methyleugenol	1.9 mM	Yes	Methyleugenol	Other
MSM0.3	Aristolochic acid I	1.25 uM	No	AAI	Other
MSM0.31	Styrene Oxide	75 uM	No	Styrene Oxide	Other
MSM0.38	"1,4-BenzoquiNone"	5 uM	No	pBQ	Other
MSM0.49	Aflatoxin B1	0.25 uM	Yes	AFB1	Other
MSM0.51	Catechol	5.5 uM	No	CAT	Other
MSM0.52	Acrylamide	9.5 mM	Yes	AA	Other
MSM0.53	Glycidamide	475 uM	No	GLY	Other
MSM0.55	Furan	100 mM	Yes	Furan	Other
MSM0.57	Acrolein	5 uM	No	Acrolein	Other
MSM0.58	Aristolochic acid II	37.5 uM	No	AAII	Other
MSM0.63	Propylene Oxide	10 mM	No	Prop Ox	Other
MSM0.70	Ochratoxin A	0.08 uM	Yes	OCH	Other
MSM0.73	Sudan I	20 uM	Yes	Sudan I	Other
MSM0.103	"Dibenz[a,h]anthracene-diol epoxide"	0.109 uM	No	DBADE	PAH
MSM0.12	"Dibenzo[a,l]pyrene"	0.0039 uM	No	DBP	PAH
MSM0.13	"Dibenzo[a,l]pyrene-diol epoxide"	0.000156 uM	No	DBPDE	PAH
MSM0.130	7H-Dibenzo[c.g]carbazole	1.5 uM	No	DBC	PAH
MSM0.132	"Dibenzo[a,l]pyrene"	0.0313 uM	Yes	DBP	PAH
MSM0.14	"Dibenz[a,h]anthracene-diol epoxide"	0.0313 uM	No	DBADE	PAH
MSM0.2	"Benzo[a]pyrene-7,8-diol-9,10-epoxide"	0.125 uM	No	BPDE	PAH
MSM0.26	Benzo[a]pyrene	0.39 uM	Yes	BaP	PAH
MSM0.42	"Dibenz[a,h]anthracene"	75 uM	Yes	DBA	PAH
MSM0.54	5-Methylchrysene	1.6 uM	Yes	5-MeC	PAH
MSM0.74	"Dibenz(a,j)acridine"	5 uM	Yes	DBAC	PAH
MSM0.83	7H-Dibenzo[c.g]carbazole	3.5 uM	Yes	DBC	PAH
MSM0.92	Benzo[a]pyrene	2 uM	Yes	BaP	PAH
MSM0.96	"Dibenzo[a,l]pyrene-diol epoxide"	0.000625 uM	No	DBPDE	PAH
MSM0.56	Simulated sunlight	1.25 J	No	SSR	Radiation
MSM0.71	Gamma irradiation	2 Gray	No	Gamma irradiation	Radiation
MSM0.102	Potassium bromate	875 uM	No	Potassium bromate	ROS/NOS
MSM0.109	Peroxynitrite	30 uM	No	Peroxynitrite	ROS/NOS
MSM0.19	Hydrogen peroxide	24.5 uM	No	H2O2	ROS/NOS
MSM0.35	Potassium bromate	260 uM	No	Potassium bromate	ROS/NOS
